Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Kolarstwo,2022-05-23 16:26:50,false,"Gdańsk Kolarstwo","29.35","726","01:36:08","126","170","--","--","18.3","44.3","216","209","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:36:07.74","1","0.0","01:35:27","01:45:46","3","97"
Kolarstwo,2022-05-19 15:32:45,false,"Gdańsk Kolarstwo","57.13","1,476","03:32:19","133","178","--","--","16.1","48.1","629","637","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","03:32:18.90","1","0.0","03:30:57","04:11:38","61","221"
Bieganie,2022-05-17 18:42:25,false,"Gdańsk Bieganie","4.21","491","01:06:20","125","165","47","245","15:45","2:38","--","13","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:06:19.82","1","0.0","00:51:14","01:06:20","56","106"
Bieganie,2022-05-10 18:37:29,false,"Gdańsk Bieganie","4.27","598","01:06:48","134","170","47","235","15:38","2:46","196","199","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:06:48.33","1","0.0","00:49:15","01:06:48","22","186"
Kolarstwo,2022-05-08 12:23:21,false,"Gdańsk Kolarstwo","40.18","1,138","02:06:33","138","167","--","--","19.1","42.5","284","407","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:06:32.90","1","0.0","02:04:36","02:24:45","106","237"
Kolarstwo,2022-05-06 15:39:55,false,"Gdańsk Kolarstwo","42.05","1,134","02:19:11","136","177","--","--","18.1","53.9","314","363","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:19:11.07","1","0.0","02:18:02","02:42:58","157","306"
Chodzenie,2022-04-30 15:28:45,false,"Gdańsk Chodzenie","6.49","426","01:22:46","106","134","103","159","12:45","9:18","67","64","0.79","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","07:56.03","7","0.0","01:22:19","01:24:27","202","238"
Kolarstwo,2022-04-26 17:04:32,false,"Gdańsk Kolarstwo","53.97","1,157","02:52:34","122","176","--","--","18.8","39.8","264","293","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:52:33.51","1","0.0","02:47:53","03:52:08","113","242"
Kolarstwo,2022-04-13 15:41:30,false,"Gdańsk Kolarstwo","23.66","568","01:28:28","120","161","--","--","16.0","33.2","163","169","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:28:27.75","1","0.0","01:27:35","01:44:44","14","95"
Bieganie,2022-04-11 18:38:24,false,"Gdańsk Bieganie","4.20","450","01:09:27","122","165","40","245","16:33","2:35","--","18","1.49","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:09:26.70","1","0.0","00:50:26","01:09:27","45","93"
Bieganie,2022-04-05 18:38:11,false,"Gdańsk Bieganie","4.71","490","01:16:31","116","151","39","238","16:15","2:43","126","134","1.60","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:16:30.89","1","0.0","00:55:26","01:16:31","4","185"
Bieganie,2022-03-28 18:36:45,false,"Gdańsk Bieganie","4.50","411","01:09:20","114","147","42","250","15:23","2:46","25","36","1.54","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:09:19.58","1","0.0","00:49:25","01:09:20","151","180"
