Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Kolarstwo,2022-05-10 19:37:26,false,"Gdańsk Kolarstwo","7.92","428","00:35:57","144","169","3.5","--","--","13.2","23.7","150","12","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","Nie","11:00.13","2","0.0","00:35:54","00:36:42","20","159"
Kolarstwo,2022-05-10 17:21:10,false,"Mecz Wybrzeże Gdańsk","5.15","167","00:15:34","133","150","2.4","--","--","19.8","38.2","6","56","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","Nie","01:05.37","2","0.0","00:14:47","00:20:58","44","99"
Kolarstwo,2022-05-10 16:05:34,false,"Najlepszy pstrag  w trojmiescie","6.51","204","00:17:25","141","161","2.9","--","--","22.4","43.6","32","98","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","Nie","03:21.77","2","0.0","00:17:22","00:18:15","81","153"
Kolarstwo,2022-05-08 14:44:41,false,"Gdańsk Kolarstwo","15.67","636","01:00:18","135","162","3.6","--","--","15.6","26.5","202","44","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","14.0","0:00","Nie","02:46.14","4","0.0","01:00:05","01:03:29","--","162"
Jazda przełajowa,2022-05-08 11:01:44,false,"Mecz Lechia","16.95","564","00:45:36","130","165","3.1","--","--","22.3","38.1","45","201","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","Nie","06:14.37","4","0.0","00:45:19","00:52:14","2","157"
Bieganie,2022-05-08 08:29:51,false,"Gdańsk Bieganie","5.02","477","00:27:24","163","179","4.4","163","169","5:28","5:00","24","25","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","Nie","00:00.64","7","0.0","00:27:21","00:27:24","141","154"
Chodzenie,2022-05-06 16:30:59,false,"Gdańsk Chodzenie","6.48","551","01:01:59","104","125","2.0","121","145","9:33","6:38","42","37","0.87","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","Nie","00:02.85","8","0.0","01:01:15","01:01:59","148","165"
Chodzenie,2022-05-05 10:20:24,false,"Żukowo Chodzenie","5.69","486","00:49:20","108","135","2.0","129","144","8:41","7:48","27","33","0.90","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","05:59.12","6","0.0","00:49:11","00:49:20","135","159"
Bieganie,2022-05-01 07:27:32,false,"Karsin Bieganie","10.04","963","00:55:24","162","183","5.0","164","173","5:31","5:00","46","39","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","00:11.17","11","0.0","00:55:21","00:55:56","140","151"
Kolarstwo,2022-04-30 11:54:33,false,"Karsin Kolarstwo","11.91","492","01:04:25","106","140","2.0","--","--","11.1","41.4","87","118","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","Nie","11:44.55","3","0.0","01:03:37","02:10:50","142","196"
Bieganie,2022-04-23 12:18:26,false,"Gdańsk Bieganie","11.40","1,131","01:08:02","156","185","5.0","161","166","5:58","5:15","129","119","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","Nie","02:20.87","12","0.0","01:07:55","01:08:10","88","153"
Chodzenie,2022-04-17 19:41:14,false,"Mysłakowice Chodzenie","5.25","14","01:02:45","86","92","0.0","111","145","11:57","9:55","--","7","0.83","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","Nie","00:00.64","2","0.0","00:02:44.6","00:02:45.4","386","393"
Bieganie,2022-04-17 12:45:36,false,"Mysłakowice Bieganie","6.01","470","00:32:35","164","181","5.0","163","173","5:25","4:52","62","79","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","Nie","00:03.70","7","0.0","00:32:33","00:32:35","364","397"
Bieganie,2022-04-10 09:11:24,false,"Gdańsk - Trening biegowy","28.78","2,094","03:07:48","158","184","5.0","157","175","6:32","5:12","320","312","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","11.0","0:00","Nie","00:01.03","30","0.0","03:07:38","03:07:48","-32","28"
Bieganie,2022-04-03 16:26:38,false,"Gdańsk Bieganie","6.02","426","00:33:42","160","177","4.9","161","222","5:36","4:52","30","29","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","00:05.83","7","0.0","00:33:38","00:34:39","142","154"
Bieganie,2022-03-22 13:29:16,false,"Gdańsk Bieganie","5.58","401","00:30:32","159","179","4.5","161","166","5:29","4:52","32","27","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","Nie","03:01.25","6","0.0","00:30:30","00:30:32","140","152"
Bieganie,2022-03-13 12:19:19,false,"Gdańsk Bieganie","17.60","1,397","01:41:25","164","184","5.0","164","170","5:46","4:48","155","145","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","03:31.26","18","0.0","01:41:17","01:44:41","91","163"
Bieganie,2022-03-09 15:17:37,false,"Gdańsk Bieganie","11.24","889","01:05:24","156","177","4.9","162","166","5:49","4:58","122","118","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","11.0","0:00","Nie","01:19.41","12","0.0","01:05:19","01:05:31","86","148"
Chodzenie,2022-03-06 16:52:03,false,"Gdańsk Chodzenie","1.88","270","00:44:44","102","131","1.2","39","173","23:51","6:26","12","12","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","Nie","00:02.40","3","0.0","00:20:08","00:44:45","152","159"
Bieganie,2022-02-26 10:37:58,false,"Gdańsk Bieganie","15.01","1,162","01:20:56","167","189","5.0","165","170","5:24","4:58","16","17","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","00:03.11","16","0.0","01:20:51","01:20:56","1","5"
Bieganie,2022-02-23 18:41:46,false,"Gdańsk Bieganie","10.30","789","00:55:32","159","175","5.0","164","170","5:24","5:10","15","15","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","01:38.86","11","0.0","00:55:30","00:55:32","2","7"
Bieganie,2022-02-20 08:05:08,false,"Gdańsk Bieganie","10.01","786","00:57:23","157","171","5.0","163","167","5:44","4:53","105","104","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","00:01.80","11","0.0","00:57:18","00:57:23","51","152"
Chodzenie,2022-02-14 09:51:53,false,"Gdańsk Chodzenie","0.16","21","00:02:39.1","112","129","0.2","91","133","16:28","7:17","13","1","0.67","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","Nie","02:39.06","1","0.0","00:02:00","00:02:39.1","150","162"
Bieganie,2022-02-13 13:24:42,false,"Gdańsk Bieganie","8.73","681","00:49:29","156","179","4.9","162","169","5:40","5:04","107","97","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","04:04.93","9","0.0","00:49:26","00:51:36","60","159"
Bieganie,2022-02-10 18:21:29,false,"Gdańsk Bieganie","6.33","508","00:34:35","162","178","4.5","161","167","5:28","4:59","28","25","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","01:48.32","7","0.0","00:34:34","00:34:35","145","155"
Bieganie,2022-02-06 15:43:19,false,"Gdańsk Bieganie","5.42","438","00:29:39","166","176","4.2","163","167","5:28","5:11","33","26","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","02:22.97","6","0.0","00:29:37","00:29:39","146","158"
Bieganie,2022-02-05 10:44:08,false,"Gdańsk Bieganie","10.01","812","00:59:59","164","179","4.8","163","168","6:00","5:13","119","108","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","00:02.66","11","0.0","00:59:53","01:00:10","51","153"
