Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2022-05-15 14:50:33,false,"Warszawa Kolarstwo","32.24","745","01:38:03","136","170","--","--","19.7","31.5","63","49","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","07:51.12","7","0.0","01:36:50","01:45:11","82","111"
Cycling,2022-05-08 17:08:10,false,"Warszawa Kolarstwo","24.82","646","01:17:07","139","155","--","--","19.3","33.7","69","94","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","14:38.75","5","0.0","01:15:52","01:19:45","10","31"
Cross Country Classic Skiing,2022-04-02 13:30:14,false,"Warszawa Klasyczny bieg narciarski","8.41","579","01:52:58","125","157","--","--","4.5","9.7","26","22","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","09:40.100","3","0.0","01:27:35","01:52:58","104","122"
Elliptical,2022-03-15 20:12:17,false,"Orbitrek","0.00","556","01:01:10","148","171","74","235","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:01:10.04","1","0.0","00:00:00","01:01:10","--","--"
Elliptical,2022-03-09 17:07:05,false,"Orbitrek","0.00","337","00:42:43","137","163","85","204","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","42:43.42","1","0.0","00:00:00","00:42:43","--","--"
Elliptical,2022-03-07 21:05:22,false,"Orbitrek","0.00","354","00:52:54","126","164","76","191","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","52:54.11","1","0.0","00:00:00","00:52:54","--","--"
Walking,2022-03-06 15:29:49,false,"Warszawa Chodzenie","5.35","276","01:02:21","99","122","109","128","11:39","8:48","23","4","0.79","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:54.77","7","0.0","00:58:51","01:02:21","98","118"
Cross Country Classic Skiing,2022-02-14 16:50:18,false,"Zakopane Klasyczny bieg narciarski","5.22","517","01:44:57","120","160","--","--","3.0","14.5","127","153","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:02.23","8","0.0","01:04:25","01:44:57","882","935"
Cross Country Classic Skiing,2022-02-13 09:11:07,false,"Zakopane Klasyczny bieg narciarski","16.79","2,285","07:18:47","130","168","--","--","2.3","43.2","1,108","1,085","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","15:24.19","4","0.0","02:53:44","07:18:47","1,020","2,029"
Cross Country Classic Skiing,2022-02-12 11:18:44,false,"Kościelisko Klasyczny bieg narciarski","12.19","1,534","05:18:47","120","166","--","--","2.3","31.9","584","659","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","40:09.76","3","0.0","02:39:27","05:18:47","848","1,280"
Resort Skiing/Snowboarding,2022-02-12 11:18:29,false,"Narciarstwo rekreacyjne/snowboarding","0.00","--","00:00:00.6","--","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.64","1","0.0","00:00:00","00:20:25","--","--"
Skating,2022-02-01 18:38:28,false,"Warszawa Łyżwiarstwo ","11.75","495","01:00:55","138","158","31","160","11.6","17.9","11","29","6.80","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:32.08","12","0.0","00:56:36","01:00:55","81","86"
Skating,2022-02-01 18:22:23,false,"Warszawa Łyżwiarstwo ","3.01","130","00:15:13","136","155","28","160","11.9","16.8","13","13","7.40","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.34","4","0.0","00:14:05","00:15:13","79","104"
Skating,2022-01-29 12:04:32,false,"Warszawa Łyżwiarstwo ","16.02","657","01:31:55","134","153","19","246","10.5","45.2","25","25","10.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:02.95","17","0.0","01:21:20","01:31:55","80","89"
Running,2022-01-16 20:42:26,false,"Sopot Bieganie","5.51","335","00:31:52","162","179","168","211","5:47","4:59","16","2","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:53.07","6","0.0","00:31:44","00:31:52","-1","16"
