Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Średnia częstotliwość oddechu,Minimalna częstotliwość oddechu,Maksymalna częstotliwość oddechu,Zmiana poziomu stresu,Początek stresu,Koniec stresu,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2022-05-10 18:38:26,false,"Gdańsk Bieganie","4.69","489","01:05:48","120","168","3.2","53","249","14:02","2:22","3","6","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","08:23.31","5","0.0","--","--","--","--","--","--","00:46:53","01:05:48","59","63"
Bieganie,2022-04-25 18:41:12,false,"Gdańsk Bieganie","5.11","482","01:08:29","112","170","3.0","61","237","13:25","2:32","10","10","1.24","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:36.93","6","0.0","--","--","--","--","--","--","00:52:30","01:08:29","59","64"
Kolarstwo,2022-04-21 18:06:00,false,"Gdańsk Kolarstwo","32.72","852","02:11:02","122","150","3.0","--","--","15.0","39.4","108","109","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","10:54.91","7","0.0","--","--","--","--","--","--","01:48:07","02:11:02","-8","48"
Bieganie,2022-04-11 18:39:51,false,"Gdańsk Bieganie","4.96","477","01:08:34","115","154","2.7","56","239","13:49","2:54","32","32","1.29","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","11:34.15","5","0.0","--","--","--","--","--","--","00:51:51","01:08:34","46","56"
Bieganie,2022-04-09 17:55:08,false,"Gdańsk Bieganie","5.27","442","00:35:30","153","175","4.7","154","187","6:44","5:35","65","73","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:58.32","6","0.0","--","--","--","--","--","--","00:35:08","00:36:13","19","71"
Bieg na bieżni,2022-04-05 18:31:22,false,"Bieg na bieżni","4.49","352","00:29:41","152","172","4.5","145","162","6:36","5:04","--","--","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","03:45.36","5","0.0","--","--","--","--","--","--","00:29:21","00:29:41","--","--"
Inne,2022-03-30 18:33:14,false,"Gdańsk Silka","1.53","264","00:39:27","112","152","2.5","30","193","2.3","26.2","95","102","2.93","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","09:02.68","2","0.0","--","--","--","--","--","--","00:14:13","00:39:27","48","94"
Bieganie,2022-03-28 18:48:19,false,"Gdańsk Bieganie","4.03","445","00:57:52","123","174","3.0","59","242","14:21","1:34","8","10","1.18","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:07.40","5","0.0","--","--","--","--","--","--","00:42:33","00:57:52","58","65"
Inne,2022-03-26 17:02:33,false,"Gdańsk Silka","4.04","487","01:14:02","120","162","2.9","11","230","3.3","28.1","59","59","14.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:57.57","5","0.0","--","--","--","--","--","--","00:54:57","01:14:02","26","84"
Kolarstwo,2022-03-25 16:09:10,false,"Gdańsk Kolarstwo","19.83","613","01:24:15","123","162","2.9","--","--","14.1","43.1","136","143","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","16:13.86","4","0.0","--","--","--","--","--","--","01:08:53","02:20:30","5","78"
Bieganie,2022-03-22 18:42:07,false,"Gdańsk Bieganie","4.36","362","00:58:18","107","139","2.3","57","249","13:23","3:05","16","20","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","04:40.22","5","0.0","--","--","--","--","--","--","00:45:07","00:58:18","48","55"
Kolarstwo,2022-03-13 14:22:59,false,"Gdańsk Kolarstwo","0.26","13","00:01:25.9","126","131","0.3","--","--","11.1","16.4","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:25.91","1","0.0","--","--","--","--","--","--","00:01:22","00:01:25.9","2","4"
Kolarstwo,2022-03-13 12:39:48,false,"Gdańsk Kolarstwo","13.45","456","00:56:25","125","163","3.0","--","--","14.3","35.0","47","107","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","16:44.31","3","0.0","--","--","--","--","--","--","00:48:08","00:56:25","1","78"
Pływanie w basenie,2022-03-11 18:00:40,false,"Pływanie w basenie","1,500","486","00:37:54","120","162","2.9","--","--","2:32","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1104","56","29","--","--","0:00","0.0","0:00","Nie","37:54.33","1","0.0","--","--","--","--","--","--","00:37:54","00:38:20","--","--"
Bieg na bieżni,2022-03-09 18:33:03,false,"Bieg na bieżni","4.33","357","00:31:40","148","174","4.1","133","225","7:19","4:33","--","--","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","04:26.45","5","0.0","--","--","--","--","--","--","00:29:55","00:31:40","--","--"
Bieganie,2022-03-08 18:39:55,false,"Gdańsk Bieganie","4.57","451","01:13:11","112","135","2.3","51","229","16:00","3:31","7","8","1.24","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","11:56.72","5","0.0","--","--","--","--","--","--","00:49:42","01:13:11","59","64"
Inne,2022-02-08 18:05:29,false,"Silka","0.00","538","01:20:04","117","146","2.2","23","176","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:20:03.91","1","0.0","--","--","--","--","--","--","00:00:00","01:20:04","--","--"
Bieg na bieżni,2022-02-07 17:50:36,false,"Bieg na bieżni","5.22","515","00:37:39","163","182","4.9","138","233","7:13","3:58","--","--","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","03:00.57","6","0.0","--","--","--","--","--","--","00:36:38","00:37:39","--","--"
Pływanie w basenie,2022-02-04 18:00:27,false,"Pływanie w basenie","1,425","450","00:39:37","115","153","2.4","--","--","2:46","2:07","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1129","61","29","--","--","0:00","0.0","0:00","Nie","39:37.17","1","0.0","--","--","--","--","--","--","00:39:21","00:39:51","--","--"
Inne,2022-02-03 18:42:56,false,"Gdańsk Silka","3.20","402","00:51:41","119","166","2.5","23","157","3.7","38.3","152","152","5.54","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","03:07.39","4","0.0","--","--","--","--","--","--","00:33:07","00:51:41","52","84"
Inne,2022-02-01 18:11:07,false,"Gdańsk Silka","0.94","481","01:05:13","125","172","3.0","37","206","0.9","45.4","107","122","0.39","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:05:12.89","1","0.0","--","--","--","--","--","--","00:08:10","01:05:13","17","65"
Pływanie w basenie,2022-01-28 18:00:47,false,"Pływanie w basenie","1,450","467","00:39:03","122","140","2.2","--","--","2:34","0:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1012","56","27","--","--","0:00","0.0","0:00","Nie","39:02.85","1","0.0","--","--","--","--","--","--","00:37:17","00:39:12","--","--"
Bieg na bieżni,2022-01-27 18:28:33,false,"Bieg na bieżni","4.30","432","00:33:15","160","181","4.4","132","242","7:44","3:47","--","--","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","04:50.40","5","0.0","--","--","--","--","--","--","00:32:04","00:33:15","--","--"
Inne,2022-01-25 18:44:13,false,"Gdańsk Silka","0.49","281","00:34:36","122","143","2.2","10","159","0.8","28.3","36","50","1.46","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","34:35.85","1","0.0","--","--","--","--","--","--","00:04:30","00:34:36","53","84"
Inne,2022-01-23 17:12:44,false,"Gdańsk Silka","1.40","216","00:26:39","119","144","2.0","12","147","3.2","69.2","22","12","4.28","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","05:27.75","2","0.0","--","--","--","--","--","--","00:13:02","00:26:39","60","76"
Inne,2022-01-20 18:36:32,false,"Gdańsk Silka","0.64","334","00:45:32","117","140","2.2","10","162","0.8","27.0","37","38","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","45:31.73","1","0.0","--","--","--","--","--","--","00:03:54","00:45:32","30","66"
Inne,2022-01-18 18:55:24,false,"Silka","0.00","516","01:12:01","122","159","2.7","19","203","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:12:01.03","1","0.0","--","--","--","--","--","--","00:00:00","01:12:01","--","--"
Inne,2022-01-16 12:14:42,false,"Gdańsk Silka","2.81","396","00:47:53","122","143","2.6","8","157","3.5","33.4","128","128","7.83","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","10:19.74","3","0.0","--","--","--","--","--","--","00:31:02","00:47:53","50","81"
Pływanie w basenie,2022-01-14 18:04:23,false,"Pływanie w basenie","1,125","336","00:34:51","134","164","3.1","--","--","2:39","0:58","--","--","0.00","0.0","0.0","0.0","0.0","0.0","718","56","24","--","--","0:00","0.0","0:00","Nie","34:50.60","1","0.0","--","--","--","--","--","--","00:29:54","00:35:17","--","--"
Pływanie w basenie,2022-01-07 18:00:44,false,"Pływanie w basenie","1,200","375","00:39:58","111","128","1.4","--","--","2:48","1:36","--","--","0.00","0.0","0.0","0.0","0.0","0.0","846","60","25","--","--","0:00","0.0","0:00","Nie","39:57.97","1","0.0","--","--","--","--","--","--","00:33:39","00:47:25","--","--"
Bieg na bieżni,2021-12-07 18:30:27,false,"Bieg na bieżni","5.23","509","00:43:35","150","179","4.0","127","225","8:20","3:53","--","--","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","04:05.46","6","0.0","--","--","--","--","--","--","00:41:51","00:43:35","--","--"
