Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cardio,2022-05-16 19:27:37,false,"Squash","0.00","559","01:17:05","127","176","2.8","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:17:04.50","1","0.0","--","--","--","00:00:00","01:17:05","410","424"
Gravel/Unpaved Cycling,2022-05-15 16:47:58,false,"Otelfingen Gravel/Unpaved Cycling","62.38","1,257","03:04:11","134","172","3.0","--","--","20.3","60.3","703","689","0.00","0.0","0.0","77","117","0.0","0.0","0.0","11523","--","--","0:00","22.0","0:00","No","03:04:11.50","1","0.0","25","14","37","02:55:43","03:04:11","349","655"
Cardio,2022-05-12 19:18:11,false,"Squash","0.00","608","01:04:14","140","173","3.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:04:13.55","1","0.0","--","--","--","00:00:00","01:04:14","446","446"
Walking,2022-04-27 16:39:16,false,"Puerto Princesa City Walking","2.72","408","02:05:10","88","115","0.3","21","239","45:55","5:10","1","3","1.67","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","30.0","0:00","No","12:15.76","3","0.0","--","--","--","00:29:59","02:05:10","48","52"
Mountain Biking,2022-04-23 14:37:15,false,"Lucerne Mountain Biking","40.76","1,874","02:59:33","--","--","0.0","--","--","13.6","52.3","1,106","1,111","0.00","0.0","0.0","--","--","0.0","122.6","2.9","--","--","--","0:00","10.0","0:00","No","02:59:33.23","1","0.0","--","--","--","02:58:50","03:38:16","445","988"
Cardio,2022-04-19 19:26:10,false,"Squash","0.00","620","01:12:06","137","174","3.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","01:12:05.56","1","0.0","--","--","--","00:00:00","01:12:06","433","436"
Walking,2022-04-15 12:43:40,false,"Lauterbrunnen Walking","10.98","712","02:40:06","90","124","1.2","76","219","14:34","5:24","254","202","0.92","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","10:33.86","11","0.0","--","--","--","02:02:45","02:40:06","798","978"
Gravel/Unpaved Cycling,2022-04-10 18:14:41,false,"Otelfingen Gravel/Unpaved Cycling","29.73","599","01:23:34","133","168","2.9","--","--","21.3","53.2","423","420","0.00","0.0","0.0","79","115","0.0","0.0","0.0","5415","--","--","0:00","7.0","0:00","No","01:23:34.17","1","0.0","25","17","35","01:16:43","01:23:34","368","641"
Cardio,2022-04-04 19:21:56,false,"Squash","0.00","650","01:11:40","140","173","3.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","01:11:39.74","1","0.0","--","--","--","00:00:00","01:11:40","422","430"
Walking,2022-04-03 10:03:36,false,"Otelfingen Walking","5.42","344","01:00:33","92","116","1.3","105","124","11:10","8:53","75","77","0.85","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","No","05:18.05","6","0.0","--","--","--","00:57:28","01:00:33","430","488"
