Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Other,2022-05-25 19:06:19,false,"Gdansk Skakanka","0.02","117","00:11:29","132","140","2.0","72","169","0.1","3.6","--","--","0.02","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","No","11:29.45.3","1","0.0","00:00:04","00:11:29","49","52"
Running,2022-05-23 13:38:23,false,"Gdansk Running","7.63","554","00:41:45","160","173","4.2","158","212","5:28","2:26","68","69","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","03:26.29.8","8","0.0","00:41:34","00:41:45","17","82"
Other,2022-05-21 14:31:31,false,"Skakanka","0.00","247","00:21:55","142","159","2.7","73","190","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","21:54.76.5","1","0.0","00:00:00","00:21:55","31","37"
Pool Swimming,2022-05-19 21:22:35,false,"Pool Swimming","800","182","00:22:22","134","154","2.3","0","0","2:15","0:52","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","467","48","26","0","--","0:00","0.0","0:00","No","22:21.82.8","1","0.0","00:18:02","00:22:48","--","--"
Running,2022-05-13 13:55:54,false,"Gdansk Running","5.14","370","00:26:45","158","171","3.9","159","174","5:12","4:25","44","45","1.21","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:45.46.4","6","0.0","00:26:37","00:26:45","56","80"
Strength Training,2022-05-09 16:00:17,false,"Siła","0.00","417","00:55:58","122","149","2.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","57","12","0:00","22.0","0:00","No","55:57.70.8","1","0.0","00:45:31","00:56:03","--","--"
Running,2022-05-07 14:28:05,false,"Gdansk Running","7.01","492","00:37:38","160","173","3.8","156","172","5:22","3:54","77","76","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","00:04.13.8","8","0.0","00:37:23","00:37:38","41","98"
Other,2022-05-06 14:20:27,false,"Skakanka","0.00","376","00:30:47","149","174","3.3","79","174","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","30:47.18.2","1","0.0","00:00:00","00:30:47","57","60"
Cycling,2022-04-30 06:59:56,false,"Gdańsk Kolarstwo","90.68","2,457","06:52:39","104","119","2.8","0","0","13.2","42.7","642","595","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","8.0","0:00","No","03:05.73.3","19","0.0","05:31:33","06:52:39","31","131"
Running,2022-04-27 17:22:14,false,"Gdańsk Bieganie","5.00","342","00:25:55","151","170","3.6","156","165","5:11","4:14","38","54","1.24","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","04:51.91.1","5","0.0","00:25:35","00:25:55","32","83"
Cycling,2022-04-23 14:36:25,false,"Gdańsk Kolarstwo","26.89","606","01:29:53","121","155","2.3","0","0","17.9","36.6","187","128","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","03:29.57.4","7","0.0","01:21:54","01:29:53","7","82"
